rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord
20210615000367,11011,2021,01276594,293940,OFS,재무제표,BS,재무상태표,유동부채,제 6 기,2021.03.31 현재,"46,233,551,501",제 5 기,2020.09.30 현재,"45,676,828,721",제 4 기,2020.03.31 현재,"4,723,364,537",8
20210615000367,11011,2021,01276594,293940,OFS,재무제표,BS,재무상태표,비유동부채,제 6 기,2021.03.31 현재,"351,955,353,048",제 5 기,2020.09.30 현재,"351,471,616,603",제 4 기,2020.03.31 현재,"351,289,835,012",10
20210615000367,11011,2021,01276594,293940,OFS,재무제표,BS,재무상태표,부채총계,제 6 기,2021.03.31 현재,"398,188,904,549",제 5 기,2020.09.30 현재,"397,148,445,324",제 4 기,2020.03.31 현재,"356,013,199,549",12
20210615000367,11011,2021,01276594,293940,OFS,재무제표,BS,재무상태표,자본금,제 6 기,2021.03.31 현재,"56,330,123,000",제 5 기,2020.09.30 현재,"56,330,123,000",제 4 기,2020.03.31 현재,"51,630,123,000",15
20210615000367,11011,2021,01276594,293940,OFS,재무제표,BS,재무상태표,이익잉여금,제 6 기,2021.03.31 현재,"557,006,629",제 5 기,2020.09.30 현재,"2,440,458,611",제 4 기,2020.03.31 현재,"1,561,002,342",19
20210615000367,11011,2021,01276594,293940,OFS,재무제표,BS,재무상태표,자본총계,제 6 기,2021.03.31 현재,"305,819,412,420",제 5 기,2020.09.30 현재,"307,702,864,402",제 4 기,2020.03.31 현재,"279,583,442,402",22
20210615000367,11011,2021,01276594,293940,OFS,재무제표,IS,손익계산서,영업이익,제 6 기,2020.10.01 ~ 2021.03.31,"14,027,756,220",제 5 기,2020.04.01 ~ 2020.09.30,"13,570,613,965",제 4 기,2019.10.01 ~ 2020.03.31,"10,556,606,741",26
20210615000367,11011,2021,01276594,293940,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 6 기,2020.10.01 ~ 2021.03.31,"7,771,056,837",제 5 기,2020.04.01 ~ 2020.09.30,"9,675,974,719",제 4 기,2019.10.01 ~ 2020.03.31,"6,362,052,736",28
20210615000367,11011,2021,01276594,293940,OFS,재무제표,IS,손익계산서,당기순이익,제 6 기,2020.10.01 ~ 2021.03.31,"7,771,056,837",제 5 기,2020.04.01 ~ 2020.09.30,"9,675,974,719",제 4 기,2019.10.01 ~ 2020.03.31,"6,362,052,736",30
20210610000278,11011,2021,00106614,092440,CFS,연결재무제표,BS,재무상태표,유동자산,제 33 기,2021.03.31 현재,"144,393,688,217",제 32 기,2020.03.31 현재,"137,793,859,483",제 31 기,2019.03.31 현재,"129,427,063,570",1
20210610000278,11011,2021,00106614,092440,CFS,연결재무제표,BS,재무상태표,비유동자산,제 33 기,2021.03.31 현재,"115,189,445,902",제 32 기,2020.03.31 현재,"113,882,110,215",제 31 기,2019.03.31 현재,"116,329,092,935",3
20210610000278,11011,2021,00106614,092440,CFS,연결재무제표,BS,재무상태표,자산총계,제 33 기,2021.03.31 현재,"259,583,134,119",제 32 기,2020.03.31 현재,"251,675,969,698",제 31 기,2019.03.31 현재,"245,756,156,505",5
20210610000278,11011,2021,00106614,092440,CFS,연결재무제표,BS,재무상태표,유동부채,제 33 기,2021.03.31 현재,"14,480,397,457",제 32 기,2020.03.31 현재,"13,283,120,677",제 31 기,2019.03.31 현재,"10,109,596,768",7
20210610000278,11011,2021,00106614,092440,CFS,연결재무제표,BS,재무상태표,비유동부채,제 33 기,2021.03.31 현재,"1,000,029,634",제 32 기,2020.03.31 현재,"1,148,913,295",제 31 기,2019.03.31 현재,"2,003,831,236",9
20210610000278,11011,2021,00106614,092440,CFS,연결재무제표,BS,재무상태표,부채총계,제 33 기,2021.03.31 현재,"15,480,427,091",제 32 기,2020.03.31 현재,"14,432,033,972",제 31 기,2019.03.31 현재,"12,113,428,004",11
20210610000278,11011,2021,00106614,092440,CFS,연결재무제표,BS,재무상태표,자본금,제 33 기,2021.03.31 현재,"14,600,000,000",제 32 기,2020.03.31 현재,"14,600,000,000",제 31 기,2019.03.31 현재,"14,600,000,000",13
20210610000278,11011,2021,00106614,092440,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 33 기,2021.03.31 현재,"205,858,101,776",제 32 기,2020.03.31 현재,"201,487,348,729",제 31 기,2019.03.31 현재,"196,044,999,543",17
20210610000278,11011,2021,00106614,092440,CFS,연결재무제표,BS,재무상태표,자본총계,제 33 기,2021.03.31 현재,"244,102,707,028",제 32 기,2020.03.31 현재,"237,243,935,726",제 31 기,2019.03.31 현재,"233,642,728,501",21
20210610000278,11011,2021,00106614,092440,CFS,연결재무제표,IS,손익계산서,매출액,제 33 기,2020.04.01 ~ 2021.03.31,"128,459,666,433",제 32 기,2019.04.01 ~ 2020.03.31,"124,649,549,539",제 31 기,2018.04.01 ~ 2019.03.31,"118,992,210,077",23
