rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,ord,thstrm_add_amount,frmtrm_add_amount
20210513000749,11014,2021,00877174,169330,CFS,연결재무제표,IS,손익계산서,영업이익,제 23 기3분기,2020.07.01 ~ 2021.03.31,"128,823,715",제 22 기3분기,2019.07.01 ~ 2020.03.31,"307,873,890",25,"5,364,473,669","5,342,680,932"
20210513000749,11014,2021,00877174,169330,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 23 기3분기,2020.07.01 ~ 2021.03.31,"84,781,067",제 22 기3분기,2019.07.01 ~ 2020.03.31,"336,339,184",27,"5,211,223,873","5,333,631,087"
20210513000749,11014,2021,00877174,169330,CFS,연결재무제표,IS,손익계산서,당기순이익,제 23 기3분기,2020.07.01 ~ 2021.03.31,"57,909,371",제 22 기3분기,2019.07.01 ~ 2020.03.31,"175,508,932",29,"4,099,954,621","4,160,232,247"
20210513000749,11014,2021,00877174,169330,OFS,재무제표,BS,재무상태표,유동자산,제 23 기3분기말,2021.03.31 현재,"20,386,403,448",제 22 기말,2020.06.30 현재,"20,409,686,021",2,,
20210513000749,11014,2021,00877174,169330,OFS,재무제표,BS,재무상태표,비유동자산,제 23 기3분기말,2021.03.31 현재,"9,292,280,076",제 22 기말,2020.06.30 현재,"10,490,569,019",4,,
20210513000749,11014,2021,00877174,169330,OFS,재무제표,BS,재무상태표,자산총계,제 23 기3분기말,2021.03.31 현재,"29,678,683,524",제 22 기말,2020.06.30 현재,"30,900,255,040",6,,
20210513000749,11014,2021,00877174,169330,OFS,재무제표,BS,재무상태표,유동부채,제 23 기3분기말,2021.03.31 현재,"4,482,783,143",제 22 기말,2020.06.30 현재,"5,845,332,981",8,,
20210513000749,11014,2021,00877174,169330,OFS,재무제표,BS,재무상태표,비유동부채,제 23 기3분기말,2021.03.31 현재,"3,319,446,339",제 22 기말,2020.06.30 현재,"3,872,507,640",10,,
20210513000749,11014,2021,00877174,169330,OFS,재무제표,BS,재무상태표,부채총계,제 23 기3분기말,2021.03.31 현재,"7,802,229,482",제 22 기말,2020.06.30 현재,"9,717,840,621",12,,
20210513000749,11014,2021,00877174,169330,OFS,재무제표,BS,재무상태표,자본금,제 23 기3분기말,2021.03.31 현재,"4,484,229,500",제 22 기말,2020.06.30 현재,"4,484,229,500",15,,
20210513000749,11014,2021,00877174,169330,OFS,재무제표,BS,재무상태표,이익잉여금,제 23 기3분기말,2021.03.31 현재,"8,532,134,948",제 22 기말,2020.06.30 현재,"7,920,601,469",19,,
